a,F1,F2,F3,F4,F5,Roll,Pitch,Yaw
a,56.3,46,70.2,41.9,22,-12.4,-52.4,38.7
a,57.1,46,67.5,40.8,23.5,-12.5,-52.4,38.3
a,55.4,44,68.4,43,23.5,-12.5,-52.5,38.3
a,55.4,44,68.4,43,23.5,-12.7,-52.5,38.1
a,55.4,44,67.5,41.9,23.5,-12.8,-52.5,37.9
a,55.4,43,67.5,43,22,-12.8,-52.6,37.8
a,54.6,43,68.4,43,23.5,-13.1,-52.6,37.6
a,55.4,44,67.5,44,23.5,-13.3,-52.5,37.4
a,55.4,43,67.5,44,25,-13.7,-52.6,37.4
a,54.6,43,67.5,45.1,29.4,-13.9,-52.7,36.9
a,20.1,14,45.9,30.1,23.1,-24.2,-46.2,41.5
a,20.1,13,45.9,29,24.6,-24.2,-46.3,41.6
a,19.3,14,45.9,30.1,23.1,-24,-46.3,41.5
a,19.3,14,48.6,30.1,26,-23.8,-46.4,41.6
a,21,16,55.8,30.1,24.6,-23.4,-46.7,41.7
a,25.2,20,59.4,26.8,23.1,-23,-47,41.8
a,28.5,23,57.6,23.6,21.7,-22.8,-47.6,40.3
a,31.9,21,57.6,23.6,17.3,-21.7,-47.2,40.3
a,34.4,20,55.8,23.6,20.2,-21.4,-47,40.2
a,35.2,20,55.8,24.7,20.2,-21.4,-46.8,39.7
a,36.1,20,54.9,25.8,18.8,-21.3,-46.7,39.6
a,31.9,27,62.1,31.1,17.3,-4.7,-42.2,27.2
a,33.6,28,61.2,30.1,15.9,-4.8,-42.2,27
a,35.2,29,60.3,27.9,15.9,-4.7,-42.3,26.8
a,35.2,28,61.2,29,15.9,-4.8,-42.3,26.6
a,35.2,28,60.3,30.1,14.4,-4.8,-42.3,26.3
a,35.2,27,61.2,30.1,14.4,-4.8,-42.3,26.1
a,35.2,27,62.1,30.1,14.4,-5,-42.1,26
a,36.1,27,61.2,29,20.2,-5.2,-41.7,25.7
a,39.4,28,63,33.3,27.5,-5.1,-41.1,25.4
a,37.8,27,65.7,43,42,-5.8,-41,23.8
a,30.2,35,61.2,26.8,21.7,-11.1,-42.4,9.2
a,32.7,39,60.3,26.8,20.2,-10.6,-42.4,9
a,31.9,39,59.4,29,21.7,-10.6,-42.2,8.8
a,33.6,37,57.6,29,21.7,-10.7,-42.2,8.7
a,31,35,58.5,27.9,20.2,-10.7,-42.1,8.7
a,32.7,35,60.3,27.9,21.7,-10.7,-42,8.5
a,32.7,35,60.3,27.9,21.7,-10.8,-41.8,8.4
a,34.4,35,59.4,29,23.1,-10.8,-41.7,8.3
a,36.9,35,60.3,31.1,23.1,-10.7,-41.4,8.1
a,36.9,35,60.3,30.1,21.7,-10.7,-41.3,7.9
a,43.6,31,68.4,37.6,33.8,-14.3,-53.8,36.6
a,43.6,31,68.4,38.7,32.3,-14.2,-54,36.7
a,43.6,31,66.6,36.5,30.8,-14.3,-54.2,36.9
a,43.6,30,67.5,37.6,32.3,-14.4,-54.2,36.9
a,43.6,30,65.7,36.5,33.8,-14.5,-54.3,36.9
a,42.8,31,67.5,37.6,30.8,-14.6,-54.4,36.8
a,42.8,30,66.6,36.5,30.8,-14.7,-54.3,36.7
a,42.8,30,65.7,36.5,30.8,-14.9,-54.4,36.7
a,42,29,66.6,37.6,33.8,-15.1,-54.4,36.5
a,43.6,28,68.4,44,39.7,-14.4,-54,33.2
a,16.8,9,49.5,20.4,23.1,-24.8,-46,41.6
a,17.6,9,46.8,19.3,23.1,-25,-46.1,41.6
a,16.8,11,46.8,18.2,24.6,-25,-46,41.6
a,18.4,11,50.4,19.3,26,-24.3,-45.9,41.5
a,22.6,13,52.2,19.3,24.6,-22.3,-45.8,40.5
a,26,15,58.5,21.5,20.2,-20.3,-46.1,39.1
a,26.8,13,53.1,21.5,21.7,-19.7,-45.9,39.1
a,28.5,13,52.2,20.4,21.7,-19.6,-45.8,39.2
a,28.5,13,51.3,19.3,21.7,-19.9,-45.9,39.1
a,28.5,13,52.2,21.5,21.7,-20.1,-45.9,38.9
a,28.5,16,65.7,33.3,21.7,-1,-40.7,23.5
a,28.5,16,64.8,32.2,23.1,-0.9,-40.7,23.3
a,28.5,15,64.8,33.3,23.1,-1,-40.7,23.2
a,28.5,16,64.8,33.3,23.1,-0.9,-40.7,23.2
a,28.5,17,63.9,32.2,23.1,-1.1,-40.7,23.1
a,28.5,17,64.8,33.3,21.7,-1.1,-40.6,23
a,28.5,17,64.8,34.4,23.1,-1.2,-40.3,22.8
a,29.4,17,65.7,35.4,24.6,-1.4,-40.1,22.6
a,29.4,16,65.7,36.5,27.5,-1.3,-40,22
a,27.7,15,61.2,38.7,39.1,-0.9,-39.7,17.9
a,15.1,14,57.6,30.1,23.1,-11.5,-41.5,6.7
a,15.9,13,57.6,30.1,21.7,-11.8,-41.1,6.8
a,15.1,13,56.7,31.1,23.1,-12,-41.3,6.8
a,15.1,13,56.7,31.1,23.1,-12.1,-41.3,6.7
a,15.9,14,55.8,31.1,23.1,-12.2,-41.4,6.5
a,15.9,13,59.4,32.2,26,-12.5,-41.2,6.6
a,17.6,15,62.1,33.3,24.6,-12.9,-41.1,6.9
a,17.6,16,62.1,33.3,26,-12.9,-41.1,6.9
a,20.1,16,63,35.4,24.6,-13.2,-40.4,5.9
a,21,14,60.3,39.7,31.8,-12.2,-40.2,4
